Test, Threshold/size, Time
QuickSortMiddleAverageCase,103100,5991400
QuickSortEndAverageCase,104100,1449383637
QuickSortMiddleAverageCase,104100,6245673
QuickSortEndAverageCase,105100,1482957957
QuickSortMiddleAverageCase,105100,6063254
QuickSortEndAverageCase,106100,1508268921
QuickSortMiddleAverageCase,106100,6118270
QuickSortEndAverageCase,107100,1535127596
QuickSortMiddleAverageCase,107100,14045953
QuickSortEndAverageCase,108100,1569907542
QuickSortMiddleAverageCase,108100,14515119
QuickSortEndAverageCase,109100,1603147964
QuickSortMiddleAverageCase,109100,14363623
QuickSortEndAverageCase,110100,1625417754
QuickSortMiddleAverageCase,110100,14450634
QuickSortEndAverageCase,111100,1658588914
QuickSortMiddleAverageCase,111100,14492282
QuickSortEndAverageCase,112100,1695467948
QuickSortMiddleAverageCase,112100,14652087
QuickSortEndAverageCase,113100,1725449452
QuickSortMiddleAverageCase,113100,14773959
QuickSortEndAverageCase,114100,1750548077
QuickSortMiddleAverageCase,114100,14988500
QuickSortEndAverageCase,115100,1774196506
QuickSortMiddleAverageCase,115100,15203276
QuickSortEndAverageCase,116100,1807418211
QuickSortMiddleAverageCase,116100,15200320
QuickSortEndAverageCase,117100,1847921319
QuickSortMiddleAverageCase,117100,15481328
QuickSortEndAverageCase,118100,1875793843
QuickSortMiddleAverageCase,118100,15383885
QuickSortEndAverageCase,119100,1906858270
QuickSortMiddleAverageCase,119100,15665236
QuickSortEndAverageCase,120100,1944220588
QuickSortMiddleAverageCase,120100,15885440
QuickSortEndAverageCase,121100,1971935990
QuickSortMiddleAverageCase,121100,15864418
QuickSortEndAverageCase,122100,1999019229
QuickSortMiddleAverageCase,122100,16202254
QuickSortEndAverageCase,123100,2031770788
QuickSortMiddleAverageCase,123100,16481316
QuickSortEndAverageCase,124100,2106675318
QuickSortMiddleAverageCase,124100,17884635
QuickSortEndAverageCase,125100,2152978507
QuickSortMiddleAverageCase,125100,16798736
QuickSortEndAverageCase,126100,2148565300
QuickSortMiddleAverageCase,126100,17312270
QuickSortEndAverageCase,127100,2173523149
QuickSortMiddleAverageCase,127100,17222994
QuickSortEndAverageCase,128100,2201535682
QuickSortMiddleAverageCase,128100,17156340
QuickSortEndAverageCase,129100,2237916559
QuickSortMiddleAverageCase,129100,17281546
QuickSortEndAverageCase,130100,2290621991
QuickSortMiddleAverageCase,130100,17713326
QuickSortEndAverageCase,131100,2360661550
QuickSortMiddleAverageCase,131100,17690261
QuickSortEndAverageCase,132100,2370541645
QuickSortMiddleAverageCase,132100,17703374
QuickSortEndAverageCase,133100,2410745481
QuickSortMiddleAverageCase,133100,18323720
QuickSortEndAverageCase,134100,2426076454
QuickSortMiddleAverageCase,134100,17797211
QuickSortEndAverageCase,135100,2447332044
QuickSortMiddleAverageCase,135100,18184261
QuickSortEndAverageCase,136100,2485746211
QuickSortMiddleAverageCase,136100,18277502
QuickSortEndAverageCase,137100,2536712706
QuickSortMiddleAverageCase,137100,18280980
QuickSortEndAverageCase,138100,2571398375
QuickSortMiddleAverageCase,138100,18445657
QuickSortEndAverageCase,139100,2610162879
QuickSortMiddleAverageCase,139100,18415300
QuickSortEndAverageCase,140100,2637548971
QuickSortMiddleAverageCase,140100,18967854
QuickSortEndAverageCase,141100,2672945967
QuickSortMiddleAverageCase,141100,19026671
QuickSortEndAverageCase,142100,2705585906
QuickSortMiddleAverageCase,142100,19045150
QuickSortEndAverageCase,143100,2756366310
QuickSortMiddleAverageCase,143100,19064766
QuickSortEndAverageCase,144100,2795485238
QuickSortMiddleAverageCase,144100,19975064
QuickSortEndAverageCase,145100,2826344090
QuickSortMiddleAverageCase,145100,19400037
QuickSortEndAverageCase,146100,2866831059
QuickSortMiddleAverageCase,146100,19843804
QuickSortEndAverageCase,147100,2907341187
QuickSortMiddleAverageCase,147100,20353008
QuickSortEndAverageCase,148100,2934432284
QuickSortMiddleAverageCase,148100,20251847
QuickSortEndAverageCase,149100,2985654826
QuickSortMiddleAverageCase,149100,19873782
QuickSortEndAverageCase,150100,3036927810
QuickSortMiddleAverageCase,150100,20268447
QuickSortEndAverageCase,151100,3078296958
QuickSortMiddleAverageCase,151100,20019107
QuickSortEndAverageCase,152100,3123578587
QuickSortMiddleAverageCase,152100,20269107
QuickSortEndAverageCase,153100,3151488971
QuickSortMiddleAverageCase,153100,20684733
QuickSortEndAverageCase,154100,3189427011
QuickSortMiddleAverageCase,154100,20468141
QuickSortEndAverageCase,155100,3275478776
QuickSortMiddleAverageCase,155100,21379436
QuickSortEndAverageCase,156100,3323080179
QuickSortMiddleAverageCase,156100,20673153
QuickSortEndAverageCase,157100,3352413093
QuickSortMiddleAverageCase,157100,20773972
QuickSortEndAverageCase,158100,3349358610
QuickSortMiddleAverageCase,158100,21416360
QuickSortEndAverageCase,159100,3398084327
QuickSortMiddleAverageCase,159100,21294890
QuickSortEndAverageCase,160100,3444917254
QuickSortMiddleAverageCase,160100,21177716
QuickSortEndAverageCase,161100,3494077224
QuickSortMiddleAverageCase,161100,21211073
QuickSortEndAverageCase,162100,3535074029
QuickSortMiddleAverageCase,162100,21671941
QuickSortEndAverageCase,163100,3596781010
QuickSortMiddleAverageCase,163100,23146019
QuickSortEndAverageCase,164100,3625514467
QuickSortMiddleAverageCase,164100,22868237
QuickSortEndAverageCase,165100,3675356925
QuickSortMiddleAverageCase,165100,23169026
QuickSortEndAverageCase,166100,3706653993
QuickSortMiddleAverageCase,166100,23512611
QuickSortEndAverageCase,167100,3758284648
QuickSortMiddleAverageCase,167100,23782493
QuickSortEndAverageCase,168100,3798929712
QuickSortMiddleAverageCase,168100,23680974
QuickSortEndAverageCase,169100,3857676261
QuickSortMiddleAverageCase,169100,24488052
QuickSortEndAverageCase,170100,3892101792
QuickSortMiddleAverageCase,170100,24096609
QuickSortEndAverageCase,171100,3953188462
QuickSortMiddleAverageCase,171100,24714605
QuickSortEndAverageCase,172100,3989607624
QuickSortMiddleAverageCase,172100,24204841
QuickSortEndAverageCase,173100,4056399897
QuickSortMiddleAverageCase,173100,25278603
QuickSortEndAverageCase,174100,4149512110
QuickSortMiddleAverageCase,174100,25075589
QuickSortEndAverageCase,175100,4180235206
QuickSortMiddleAverageCase,175100,24907784
QuickSortEndAverageCase,176100,4174790526
QuickSortMiddleAverageCase,176100,25075828
QuickSortEndAverageCase,177100,4235711368
QuickSortMiddleAverageCase,177100,24701957
QuickSortEndAverageCase,178100,4278621828
QuickSortMiddleAverageCase,178100,25349315
QuickSortEndAverageCase,179100,4336724819
QuickSortMiddleAverageCase,179100,24937379
QuickSortEndAverageCase,180100,4375172999
QuickSortMiddleAverageCase,180100,25575351
QuickSortEndAverageCase,181100,4419878961
QuickSortMiddleAverageCase,181100,25562193
QuickSortEndAverageCase,182100,4463061111
QuickSortMiddleAverageCase,182100,25882835
QuickSortEndAverageCase,183100,4526986063
QuickSortMiddleAverageCase,183100,25520503
QuickSortEndAverageCase,184100,4562265325
QuickSortMiddleAverageCase,184100,25780893
QuickSortEndAverageCase,185100,4628181930
QuickSortMiddleAverageCase,185100,26575171
QuickSortEndAverageCase,186100,4665584477
QuickSortMiddleAverageCase,186100,26831013
QuickSortEndAverageCase,187100,4722455672
QuickSortMiddleAverageCase,187100,26806052
QuickSortEndAverageCase,188100,4756643353
QuickSortMiddleAverageCase,188100,27349811
QuickSortEndAverageCase,189100,4898656283
QuickSortMiddleAverageCase,189100,27218694
QuickSortEndAverageCase,190100,4944534320
QuickSortMiddleAverageCase,190100,26681299
QuickSortEndAverageCase,191100,4922828478
QuickSortMiddleAverageCase,191100,26859115
QuickSortEndAverageCase,192100,4985744194
QuickSortMiddleAverageCase,192100,26824671
QuickSortEndAverageCase,193100,5023060145
QuickSortMiddleAverageCase,193100,27398375
QuickSortEndAverageCase,194100,5060831077
QuickSortMiddleAverageCase,194100,27509400
