type,dim,n,k,time
bucket,4,5000,50,398758
bucket,5,5000,50,546014
bucket,6,5000,50,599600
bucket,7,5000,50,645328
bucket,1,6000,50,10268
bucket,2,6000,50,67313
bucket,3,6000,50,202127
bucket,4,6000,50,462512
bucket,5,6000,50,520117
bucket,6,6000,50,769867
bucket,7,6000,50,766151
bucket,1,7000,50,10514
bucket,2,7000,50,56983
bucket,3,7000,50,244525
bucket,4,7000,50,423518
bucket,5,7000,50,558659
bucket,6,7000,50,741328
bucket,7,7000,50,814639
bucket,1,8000,50,10388
bucket,2,8000,50,68604
bucket,3,8000,50,256186
bucket,4,8000,50,468541
bucket,5,8000,50,608620
bucket,6,8000,50,839303
bucket,7,8000,50,930515
bucket,1,9000,50,10776
bucket,2,9000,50,72256
bucket,3,9000,50,293617
bucket,4,9000,50,495392
bucket,5,9000,50,696608
bucket,6,9000,50,936819
bucket,7,9000,50,1046126
bucket,1,10000,50,10881
bucket,2,10000,50,76917
bucket,3,10000,50,302993
bucket,4,10000,50,543803
bucket,5,10000,50,803508
bucket,6,10000,50,1047862
bucket,7,10000,50,1138232
kdtree,1,1000,10,99520
kdtree,2,1000,10,16654
kdtree,3,1000,10,13691
kdtree,4,1000,10,17162
kdtree,5,1000,10,26998
kdtree,6,1000,10,36774
kdtree,7,1000,10,51541
kdtree,1,2000,10,191510
kdtree,2,2000,10,24687
kdtree,3,2000,10,18270
kdtree,4,2000,10,21514
kdtree,5,2000,10,31151
kdtree,6,2000,10,46599
kdtree,7,2000,10,74027
kdtree,1,3000,10,274879
kdtree,2,3000,10,29455
kdtree,3,3000,10,20963
kdtree,4,3000,10,26341
kdtree,5,3000,10,38144
kdtree,6,3000,10,58040
kdtree,7,3000,10,92005
kdtree,1,4000,10,360926
kdtree,2,4000,10,35815
kdtree,3,4000,10,21540
kdtree,4,4000,10,28472
kdtree,5,4000,10,40744
kdtree,6,4000,10,64908
kdtree,7,4000,10,92835
kdtree,1,5000,10,431361
kdtree,2,5000,10,40471
kdtree,3,5000,10,24438
kdtree,4,5000,10,30450
kdtree,5,5000,10,43614
kdtree,6,5000,10,68896
kdtree,7,5000,10,111383
kdtree,1,6000,10,535224
kdtree,2,6000,10,42728
kdtree,3,6000,10,27721
kdtree,4,6000,10,30650
kdtree,5,6000,10,46346
kdtree,6,6000,10,78339
kdtree,7,6000,10,118561
kdtree,1,7000,10,607982
kdtree,2,7000,10,47301
kdtree,3,7000,10,29169
kdtree,4,7000,10,37490
kdtree,5,7000,10,48460
kdtree,6,7000,10,83655
kdtree,7,7000,10,125037
kdtree,1,8000,10,676028
kdtree,2,8000,10,55087
kdtree,3,8000,10,32797
kdtree,4,8000,10,36718
kdtree,5,8000,10,49233
kdtree,6,8000,10,78209
kdtree,7,8000,10,127505
kdtree,1,9000,10,748252
kdtree,2,9000,10,56609
kdtree,3,9000,10,33090
kdtree,4,9000,10,36632
kdtree,5,9000,10,53110
kdtree,6,9000,10,90429
kdtree,7,9000,10,144764
kdtree,1,10000,10,835739
kdtree,2,10000,10,57012
kdtree,3,10000,10,33843
kdtree,4,10000,10,39310
kdtree,5,10000,10,50959
kdtree,6,10000,10,85841
kdtree,7,10000,10,141086
kdtree,1,1000,20,109903
kdtree,2,1000,20,27878
kdtree,3,1000,20,21205
kdtree,4,1000,20,26733
kdtree,5,1000,20,33866
kdtree,6,1000,20,49900
kdtree,7,1000,20,67490
kdtree,1,2000,20,231402
kdtree,2,2000,20,40683
kdtree,3,2000,20,29658
kdtree,4,2000,20,31260
kdtree,5,2000,20,44066
kdtree,6,2000,20,63810
kdtree,7,2000,20,92674
kdtree,1,3000,20,331097
kdtree,2,3000,20,49724
kdtree,3,3000,20,35764
kdtree,4,3000,20,42017
kdtree,5,3000,20,54996
kdtree,6,3000,20,80636
kdtree,7,3000,20,134683
kdtree,1,4000,20,458897
kdtree,2,4000,20,61217
kdtree,3,4000,20,36970
kdtree,4,4000,20,42002
kdtree,5,4000,20,60332
kdtree,6,4000,20,89547
kdtree,7,4000,20,133233
kdtree,1,5000,20,569572
kdtree,2,5000,20,67636
kdtree,3,5000,20,45267
kdtree,4,5000,20,49357
kdtree,5,5000,20,66605
kdtree,6,5000,20,96927
kdtree,7,5000,20,148572
kdtree,1,6000,20,758240
kdtree,2,6000,20,79497
kdtree,3,6000,20,44359
kdtree,4,6000,20,49349
kdtree,5,6000,20,72283
kdtree,6,6000,20,111057
kdtree,7,6000,20,173597
kdtree,1,7000,20,843220
kdtree,2,7000,20,89323
kdtree,3,7000,20,49818
kdtree,4,7000,20,53455
kdtree,5,7000,20,75213
kdtree,6,7000,20,115303
kdtree,7,7000,20,167428
kdtree,1,8000,20,995081
kdtree,2,8000,20,119752
kdtree,3,8000,20,63941
kdtree,4,8000,20,66104
kdtree,5,8000,20,76458
kdtree,6,8000,20,123316
kdtree,7,8000,20,186248
kdtree,1,9000,20,1030797
kdtree,2,9000,20,94247
kdtree,3,9000,20,54122
kdtree,4,9000,20,65700
kdtree,5,9000,20,77944
kdtree,6,9000,20,128188
kdtree,7,9000,20,185781
kdtree,1,10000,20,1094456
kdtree,2,10000,20,96634
kdtree,3,10000,20,56293
kdtree,4,10000,20,59095
kdtree,5,10000,20,82678
kdtree,6,10000,20,128224
kdtree,7,10000,20,194062
kdtree,1,1000,30,111048
kdtree,2,1000,30,34751
kdtree,3,1000,30,31307
kdtree,4,1000,30,32081
kdtree,5,1000,30,42028
kdtree,6,1000,30,58198
kdtree,7,1000,30,83384
kdtree,1,2000,30,217205
kdtree,2,2000,30,52107
kdtree,3,2000,30,34741
kdtree,4,2000,30,41039
kdtree,5,2000,30,58408
kdtree,6,2000,30,81761
kdtree,7,2000,30,114425
kdtree,1,3000,30,359121
kdtree,2,3000,30,66772
kdtree,3,3000,30,46625
kdtree,4,3000,30,50938
kdtree,5,3000,30,71902
kdtree,6,3000,30,102775
kdtree,7,3000,30,146389
kdtree,1,4000,30,473478
kdtree,2,4000,30,82558
kdtree,3,4000,30,56391
kdtree,4,4000,30,58975
kdtree,5,4000,30,77281
kdtree,6,4000,30,116565
kdtree,7,4000,30,180038
kdtree,1,5000,30,659198
kdtree,2,5000,30,111172
kdtree,3,5000,30,61471
kdtree,4,5000,30,78385
kdtree,5,5000,30,461119
kdtree,6,5000,30,145477
