Test, Size, Time
Mergesort - Best Case,2200100,455217990
Mergesort - Average Case,2200100,377402405
Mergesort - Worst Case,2200100,361482437
Middle Pivot - Worst Case,2250100,98014756
Random Pivot - Worst Case,2250100,443889336
End Pivot - Worst Case,2250100,115673185
Mergesort - Best Case,2250100,443970101
Mergesort - Average Case,2250100,378813119
Mergesort - Worst Case,2250100,369811144
Middle Pivot - Worst Case,2300100,105850763
Random Pivot - Worst Case,2300100,472490755
End Pivot - Worst Case,2300100,115073685
Mergesort - Best Case,2300100,469769345
Mergesort - Average Case,2300100,389060412
Mergesort - Worst Case,2300100,366028073
Middle Pivot - Worst Case,2350100,104094809
Random Pivot - Worst Case,2350100,456889651
End Pivot - Worst Case,2350100,124662223
Mergesort - Best Case,2350100,480687096
Mergesort - Average Case,2350100,391991308
Mergesort - Worst Case,2350100,372665648
Middle Pivot - Worst Case,2400100,107102925
Random Pivot - Worst Case,2400100,471161314
End Pivot - Worst Case,2400100,127034109
Mergesort - Best Case,2400100,495253816
Mergesort - Average Case,2400100,403546862
Mergesort - Worst Case,2400100,388692204
Middle Pivot - Worst Case,2450100,109410345
Random Pivot - Worst Case,2450100,470625865
End Pivot - Worst Case,2450100,123670152
Mergesort - Best Case,2450100,470403783
Mergesort - Average Case,2450100,362940607
Mergesort - Worst Case,2450100,349222285
Middle Pivot - Worst Case,2500100,114348098
Random Pivot - Worst Case,2500100,520378467
End Pivot - Worst Case,2500100,134932689
Mergesort - Best Case,2500100,498482480
Mergesort - Average Case,2500100,376174816
Mergesort - Worst Case,2500100,353962378
Middle Pivot - Worst Case,2550100,116928549
Random Pivot - Worst Case,2550100,507043164
End Pivot - Worst Case,2550100,138113513
Mergesort - Best Case,2550100,374993691
Mergesort - Average Case,2550100,392805261
Mergesort - Worst Case,2550100,363395734
Middle Pivot - Worst Case,2600100,131872028
Random Pivot - Worst Case,2600100,513920290
End Pivot - Worst Case,2600100,167224262
Mergesort - Best Case,2600100,420735629
Mergesort - Average Case,2600100,428391729
Mergesort - Worst Case,2600100,408840906
Middle Pivot - Worst Case,2650100,136241432
Random Pivot - Worst Case,2650100,519835286
End Pivot - Worst Case,2650100,138043595
Mergesort - Best Case,2650100,501887597
Mergesort - Average Case,2650100,492618308
Mergesort - Worst Case,2650100,486756312
Middle Pivot - Worst Case,2700100,127499209
Random Pivot - Worst Case,2700100,537697850
End Pivot - Worst Case,2700100,161175119
Mergesort - Best Case,2700100,612866884
Mergesort - Average Case,2700100,506847194
Mergesort - Worst Case,2700100,470703360
Middle Pivot - Worst Case,2750100,126187670
Random Pivot - Worst Case,2750100,534914399
End Pivot - Worst Case,2750100,142552062
Mergesort - Best Case,2750100,602288977
Mergesort - Average Case,2750100,523832095
Mergesort - Worst Case,2750100,506689135
Middle Pivot - Worst Case,2800100,131440482
Random Pivot - Worst Case,2800100,568888221
End Pivot - Worst Case,2800100,148864559
Mergesort - Best Case,2800100,624237026
Mergesort - Average Case,2800100,528355364
Mergesort - Worst Case,2800100,489834465
Middle Pivot - Worst Case,2850100,136553404
Random Pivot - Worst Case,2850100,558638036
End Pivot - Worst Case,2850100,148706215
Mergesort - Best Case,2850100,624833113
Mergesort - Average Case,2850100,527906296
Mergesort - Worst Case,2850100,511117812
Middle Pivot - Worst Case,2900100,141899974
Random Pivot - Worst Case,2900100,588202655
End Pivot - Worst Case,2900100,159508952
Mergesort - Best Case,2900100,669599934
Mergesort - Average Case,2900100,554907526
Mergesort - Worst Case,2900100,530132559
Middle Pivot - Worst Case,2950100,141886878
Random Pivot - Worst Case,2950100,593685938
End Pivot - Worst Case,2950100,163544436
Mergesort - Best Case,2950100,657853924
Mergesort - Average Case,2950100,551676906
Mergesort - Worst Case,2950100,515715279
Middle Pivot - Worst Case,3000100,146793818
Random Pivot - Worst Case,3000100,605938890
End Pivot - Worst Case,3000100,160373231
Mergesort - Best Case,3000100,682130417
Mergesort - Average Case,3000100,501951328
Mergesort - Worst Case,3000100,488648388
Middle Pivot - Worst Case,3050100,146791089
Random Pivot - Worst Case,3050100,625852425
End Pivot - Worst Case,3050100,172978794
Mergesort - Best Case,3050100,664266766
Mergesort - Average Case,3050100,516219477
Mergesort - Worst Case,3050100,483130567
Middle Pivot - Worst Case,3100100,148383204
Random Pivot - Worst Case,3100100,625314970
End Pivot - Worst Case,3100100,170832729
Mergesort - Best Case,3100100,640303616
Mergesort - Average Case,3100100,526297977
Mergesort - Worst Case,3100100,512263839
Middle Pivot - Worst Case,3150100,153756537
Random Pivot - Worst Case,3150100,628436969
End Pivot - Worst Case,3150100,181443991
Mergesort - Best Case,3150100,621945186
Mergesort - Average Case,3150100,528348622
Mergesort - Worst Case,3150100,500556883
Middle Pivot - Worst Case,3200100,161659517
Random Pivot - Worst Case,3200100,649746193
End Pivot - Worst Case,3200100,175278791
Mergesort - Best Case,3200100,520864911
Mergesort - Average Case,3200100,531224106
Mergesort - Worst Case,3200100,507890767
Middle Pivot - Worst Case,3250100,168979634
Random Pivot - Worst Case,3250100,653923546
End Pivot - Worst Case,3250100,174516954
Mergesort - Best Case,3250100,612191789
Mergesort - Average Case,3250100,595119310
Mergesort - Worst Case,3250100,564862435
Middle Pivot - Worst Case,3300100,162088578
Random Pivot - Worst Case,3300100,661943481
End Pivot - Worst Case,3300100,176479839
Mergesort - Best Case,3300100,722299645
Mergesort - Average Case,3300100,611934420
Mergesort - Worst Case,3300100,583960311
Middle Pivot - Worst Case,3350100,162672284
Random Pivot - Worst Case,3350100,684522116
End Pivot - Worst Case,3350100,181957562
Mergesort - Best Case,3350100,721588521
Mergesort - Average Case,3350100,614814864
Mergesort - Worst Case,3350100,585741509
Middle Pivot - Worst Case,3400100,174333359
Random Pivot - Worst Case,3400100,677847152
End Pivot - Worst Case,3400100,186155567
Mergesort - Best Case,3400100,741055421
Mergesort - Average Case,3400100,638140960
Mergesort - Worst Case,3400100,618109556
Middle Pivot - Worst Case,3450100,163968406
Random Pivot - Worst Case,3450100,700603572
End Pivot - Worst Case,3450100,188046372
Mergesort - Best Case,3450100,739969512
Mergesort - Average Case,3450100,595659637
Mergesort - Worst Case,3450100,637834236
Middle Pivot - Worst Case,3500100,165804073
Random Pivot - Worst Case,3500100,702003253
End Pivot - Worst Case,3500100,184746776
Mergesort - Best Case,3500100,768976609
Mergesort - Average Case,3500100,583454253
Mergesort - Worst Case,3500100,566673899
Middle Pivot - Worst Case,3550100,166312995
Random Pivot - Worst Case,3550100,738708900
End Pivot - Worst Case,3550100,196814381
Mergesort - Best Case,3550100,767610696
Mergesort - Average Case,3550100,626846499
Mergesort - Worst Case,3550100,592680910
Middle Pivot - Worst Case,3600100,174054368
Random Pivot - Worst Case,3600100,755517927
End Pivot - Worst Case,3600100,199718023
Mergesort - Best Case,3600100,602082164
Mergesort - Average Case,3600100,629025655
Mergesort - Worst Case,3600100,591282543
Middle Pivot - Worst Case,3650100,184808636
Random Pivot - Worst Case,3650100,752224194
End Pivot - Worst Case,3650100,191146602
Mergesort - Best Case,3650100,591927829
Mergesort - Average Case,3650100,642942095
Mergesort - Worst Case,3650100,627125092
Middle Pivot - Worst Case,3700100,175243003
Random Pivot - Worst Case,3700100,768969508
End Pivot - Worst Case,3700100,204925253
Mergesort - Best Case,3700100,787663326
Mergesort - Average Case,3700100,651178481
Mergesort - Worst Case,3700100,617621739
Middle Pivot - Worst Case,3750100,179294238
Random Pivot - Worst Case,3750100,784096701
End Pivot - Worst Case,3750100,209432964
Mergesort - Best Case,3750100,624638449
Mergesort - Average Case,3750100,642601358
Mergesort - Worst Case,3750100,618708693
Middle Pivot - Worst Case,3800100,191576847
Random Pivot - Worst Case,3800100,775526781
End Pivot - Worst Case,3800100,199748835
Mergesort - Best Case,3800100,617065431
Mergesort - Average Case,3800100,636757898
Mergesort - Worst Case,3800100,610899301
Middle Pivot - Worst Case,3850100,196846863
Random Pivot - Worst Case,3850100,795628015
End Pivot - Worst Case,3850100,207546840
Mergesort - Best Case,3850100,743175142
Mergesort - Average Case,3850100,732180408
Mergesort - Worst Case,3850100,704187081
Middle Pivot - Worst Case,3900100,199854206
Random Pivot - Worst Case,3900100,824829826
End Pivot - Worst Case,3900100,211117563
Mergesort - Best Case,3900100,902012483
Mergesort - Average Case,3900100,750188420
Mergesort - Worst Case,3900100,703424328
Middle Pivot - Worst Case,3950100,193048625
