Test,Size,Time
Middle Pivot - Worst Case,73100,2482312
Random Pivot - Worst Case,73100,2347201
End Pivot - Worst Case,73100,2368176
Middle Pivot - Worst Case,74100,2526064
Random Pivot - Worst Case,74100,2427521
End Pivot - Worst Case,74100,2496834
Middle Pivot - Worst Case,75100,2601473
Random Pivot - Worst Case,75100,2476425
End Pivot - Worst Case,75100,2457064
Middle Pivot - Worst Case,76100,2583384
Random Pivot - Worst Case,76100,2476510
End Pivot - Worst Case,76100,2663901
Middle Pivot - Worst Case,77100,2605188
Random Pivot - Worst Case,77100,2464860
End Pivot - Worst Case,77100,2510868
Middle Pivot - Worst Case,78100,2567117
Random Pivot - Worst Case,78100,2440958
End Pivot - Worst Case,78100,2586938
Middle Pivot - Worst Case,79100,2548253
Random Pivot - Worst Case,79100,2543896
End Pivot - Worst Case,79100,2538882
Middle Pivot - Worst Case,80100,2582903
Random Pivot - Worst Case,80100,2571528
End Pivot - Worst Case,80100,2742060
Middle Pivot - Worst Case,81100,2846683
Random Pivot - Worst Case,81100,2635206
End Pivot - Worst Case,81100,2716224
Middle Pivot - Worst Case,82100,2757557
Random Pivot - Worst Case,82100,2680842
End Pivot - Worst Case,82100,2689962
Middle Pivot - Worst Case,83100,2848478
Random Pivot - Worst Case,83100,2694882
End Pivot - Worst Case,83100,2782126
Middle Pivot - Worst Case,84100,2847129
Random Pivot - Worst Case,84100,2838465
End Pivot - Worst Case,84100,2834760
Middle Pivot - Worst Case,85100,2882291
Random Pivot - Worst Case,85100,2868566
End Pivot - Worst Case,85100,2835566
Middle Pivot - Worst Case,86100,2935050
Random Pivot - Worst Case,86100,2763182
End Pivot - Worst Case,86100,2784888
Middle Pivot - Worst Case,87100,2973539
Random Pivot - Worst Case,87100,2794364
End Pivot - Worst Case,87100,2927871
Middle Pivot - Worst Case,88100,2865834
Random Pivot - Worst Case,88100,2802282
End Pivot - Worst Case,88100,2854444
Middle Pivot - Worst Case,89100,2926915
Random Pivot - Worst Case,89100,2868298
End Pivot - Worst Case,89100,2897980
Middle Pivot - Worst Case,90100,2926717
Random Pivot - Worst Case,90100,2851078
End Pivot - Worst Case,90100,3238158
Middle Pivot - Worst Case,91100,3072526
Random Pivot - Worst Case,91100,2920358
End Pivot - Worst Case,91100,3162613
Middle Pivot - Worst Case,92100,3090824
Random Pivot - Worst Case,92100,2953198
End Pivot - Worst Case,92100,3391308
Middle Pivot - Worst Case,93100,3154970
Random Pivot - Worst Case,93100,3102139
End Pivot - Worst Case,93100,3238809
Middle Pivot - Worst Case,94100,3112371
Random Pivot - Worst Case,94100,3018994
End Pivot - Worst Case,94100,3192253
Middle Pivot - Worst Case,95100,3351325
Random Pivot - Worst Case,95100,3046865
End Pivot - Worst Case,95100,3276127
Middle Pivot - Worst Case,96100,3197825
Random Pivot - Worst Case,96100,3110708
End Pivot - Worst Case,96100,3368717
Middle Pivot - Worst Case,97100,3226917
Random Pivot - Worst Case,97100,3114631
End Pivot - Worst Case,97100,3388283
Middle Pivot - Worst Case,98100,3307573
Random Pivot - Worst Case,98100,3309637
End Pivot - Worst Case,98100,3300498
Middle Pivot - Worst Case,99100,3300035
Random Pivot - Worst Case,99100,3192161
End Pivot - Worst Case,99100,3321600
Middle Pivot - Worst Case,100100,3336709
Random Pivot - Worst Case,100100,3573467
End Pivot - Worst Case,100100,3469917
Middle Pivot - Worst Case,101100,3543213
Random Pivot - Worst Case,101100,3433069
End Pivot - Worst Case,101100,3454555
Middle Pivot - Worst Case,102100,3491036
Random Pivot - Worst Case,102100,3409801
End Pivot - Worst Case,102100,3465384
Middle Pivot - Worst Case,103100,3475497
Random Pivot - Worst Case,103100,3344388
End Pivot - Worst Case,103100,3408211
Middle Pivot - Worst Case,104100,3530169
Random Pivot - Worst Case,104100,3534222
End Pivot - Worst Case,104100,3471837
Middle Pivot - Worst Case,105100,3562023
Random Pivot - Worst Case,105100,3409675
End Pivot - Worst Case,105100,3522546
Middle Pivot - Worst Case,106100,3588014
